Name, State, Population, Capital, Location
Renton, Washington,"101,751",FALSE,47.4761°N 122.1920°W
Vista, California,"101,638",FALSE,33.1895°N 117.2386°W
Davenport, Iowa,"101,590",FALSE,41.5541°N 90.6040°W
Edinburg, Texas,"101,170",FALSE,26.3042°N 98.1639°W
Tuscaloosa, Alabama,"101,129",FALSE,33.2065°N 87.5346°W
Carmel, Indiana,"101,068",FALSE,39.9667°N 86.1000°W
Spokane Valley, Washington,"101,060",FALSE,47.6733°N 117.2394°W
San Angelo, Texas,"101,004",FALSE,31.4411°N 100.4505°W
Vacaville, California,"100,670",FALSE,38.3539°N 121.9728°W
Clinton[ae], Michigan,"100,471",FALSE,42.5903°N 82.9170°W
Bend, Oregon,"100,421",FALSE,44.0500°N 121.3000°W
Woodbridge[ad], New Jersey,"100,145",FALSE,40.5607°N 74.2927°W
